bulk modulus samples [N/mm^2],shear modulus samples [N/mm^2]
117025.737373236,72877.8298127018
144361.373406001,76070.1699273462
127141.950740011,77108.7096930723
108086.554635214,74510.0137972101
132948.537750737,73237.6699218983
118289.963980717,72983.8982180549
118075.531769676,74427.6382784401
164064.796438601,74353.9088721436
132816.958270769,73353.2076998745
130568.723746132,72079.8457130372
125533.841988959,73781.3969287355
129206.008964329,73560.007566432
117475.690512174,74285.1824781174
166199.336308552,74375.7000005224
123605.687385677,71757.1204774157
107047.480672163,70677.2031824267
122754.949761069,72234.526910074
138692.960022943,72679.4166248051
135931.656203488,74257.4240374113
127414.298539388,75319.1433900145
158434.164278721,74878.9809460346
129271.279772589,75715.497120591
118792.102873584,73377.8086268211
118670.456160562,74116.7064159538
150202.476763629,75542.0783835968
116843.761162472,74581.2070115173
116781.459439163,73187.2290080175
138503.406278152,71732.9542444894
141655.838071764,73350.6595038865
127665.026081788,75170.3922911878
137008.827816023,74465.3203035843
131592.222281622,74893.7168375545
116018.28509975,72837.119704424
131975.041902526,70200.3708185332
123393.577056508,73606.3589848397
140334.512174733,72095.5598580489
140712.304268369,75530.2854101556
142417.615877839,71968.5183796651
126874.37837062,75009.5854196416
132650.061932579,75193.3825806962
143003.762822307,74154.0195143268
126762.965014213,74381.7179792069
132993.731004504,77950.9478430429
124709.802721573,76269.9263749212
113179.776669434,72532.3972133705
149216.447648793,72719.0265405194
117766.491270585,72893.2121457303
134803.500110137,73110.7423906421
137205.798743207,76415.1564638579
143786.351966835,73753.4303621895
123705.048300622,73743.0328513205
137965.651954787,72469.3110766889
152109.514040428,73408.5193757008
127108.652390774,74554.9485946435
127484.550342666,73828.4584749521
134746.744838079,72859.3413185317
145427.227008263,74827.1262667054
159942.266086093,75432.9467359829
118480.250458481,72222.8220531288
140561.998522457,73410.8673764981
146245.10235234,74310.4660403919
139446.499749831,78643.2825578096
155194.874115547,78174.3620367544
138737.25346487,71911.7968798649
118841.669793568,74598.1555960222
129661.943453804,75551.376735916
137096.053865334,75592.1533788085
142611.192528248,73043.9703931093
141987.332199446,74555.6125628781
155405.381609554,73879.2161654416
130469.422390793,76585.6152719041
125902.988582305,71105.9707559998
118441.769028175,73881.4238548969
131687.714261678,75878.2520291608
127769.04302422,70927.8781289217
143206.37672538,77846.0249236972
140862.966000341,74767.4161535913
129991.260578691,75887.1635820041
141254.271330302,75340.7179143277
121179.477103889,75159.7589723059
127884.413948901,73405.3247196588
138005.541494245,74326.6644851782
124668.99219505,77400.3394735382
121986.948648891,74687.7505041033
127217.269546774,75219.2309594132
119096.414309549,70329.9881922097
111262.519270212,70810.4629266846
138420.494588612,75689.1873497205
135871.45403757,74618.16240798
124866.521310598,73155.2159261216
122629.121305431,72735.217934323
123072.062220468,76377.4449649784
122995.703056829,71705.9558385782
119482.015387183,75488.7196630083
134783.975282852,76615.9641611263
150901.800350377,71364.8019137833
139261.965025574,70099.0663884548
122848.958704003,71407.7294101212
140220.187205147,73320.9644724878
129083.421017307,72271.5289027916
117025.737373236,72877.8298127018
144361.373406001,76070.1699273462
127141.950740011,77108.7096930723
108086.554635214,74510.0137972101
122559.761677814,73102.8608051144
116594.485401859,71707.169183732
118075.531769676,74427.6382784401
164064.796438601,74353.9088721436
132816.958270769,73353.2076998745
130568.723746132,72079.8457130372
133309.060916986,72960.7799164042
129206.008964329,73560.007566432
122844.107994424,72534.206657522
166199.336308552,74375.7000005224
123605.687385677,71757.1204774157
107047.480672163,70677.2031824267
122754.949761069,72234.526910074
138692.960022943,72679.4166248051
135931.656203488,74257.4240374113
127414.298539388,75319.1433900145
153155.377073926,75102.6687991214
132532.293080719,75664.0930060875
118382.425046327,73072.0226563813
118670.456160562,74116.7064159538
150202.476763629,75542.0783835968
110898.392542588,74257.499598459
116781.459439163,73187.2290080175
141756.520064427,71727.677228185
145908.160499685,73279.1552724692
127665.026081788,75170.3922911878
139436.464467805,72118.6560749866
134446.249421246,70593.1071843483
116018.28509975,72837.119704424
131975.041902526,70200.3708185332
123393.577056508,73606.3589848397
140334.512174733,72095.5598580489
140712.304268369,75530.2854101556
142417.615877839,71968.5183796651
134176.385585486,75492.5330622642
132650.061932579,75193.3825806962
139384.794725326,74392.351282041
147776.727111333,77028.3466532341
127154.961121223,76070.775564092
124709.802721573,76269.9263749212
113179.776669434,72532.3972133705
149216.447648793,72719.0265405194
117766.491270585,72893.2121457303
134803.500110137,73110.7423906421
137205.798743207,76415.1564638579
143786.351966835,73753.4303621895
124018.981849141,73880.7871792241
137965.651954787,72469.3110766889
164390.065131854,75365.2546700428
127108.652390774,74554.9485946435
127484.550342666,73828.4584749521
134746.744838079,72859.3413185317
146201.8349839,73923.7456039632
159173.688987883,75407.3655244552
108338.421115579,70414.3426836797
141409.103507783,73444.8571659343
146245.10235234,74310.4660403919
139446.499749831,78643.2825578096
155194.874115547,78174.3620367544
138737.25346487,71911.7968798649
118239.748628345,74872.6274924978
129661.943453804,75551.376735916
140436.982133103,76016.1173661557
133875.61715281,74534.3037869695
136933.484275516,74156.7082228704
155405.381609554,73879.2161654416
130469.422390793,76585.6152719041
122142.004085223,70785.8746811938
118441.769028175,73881.4238548969
131687.714261678,75878.2520291608
127769.04302422,70927.8781289217
143206.37672538,77846.0249236972
140862.966000341,74767.4161535913
138333.978082219,74961.1309318753
140431.7042862,75346.3094966264
121179.477103889,75159.7589723059
127884.413948901,73405.3247196588
129722.744044593,74444.0053814034
124668.99219505,77400.3394735382
121986.948648891,74687.7505041033
126772.394971011,77534.0973041613
120094.203196577,70544.0513050218
113456.951193587,70977.9450243619
143916.267284789,75442.7447607222
129191.883209524,76277.0610524749
124866.521310598,73155.2159261216
122629.121305431,72735.217934323
123072.062220468,76377.4449649784
